timestamp,parameter,value,unit
2026-07-12T00:00:00Z,pm25,16.53,µg/m³
2026-07-12T01:00:00Z,pm25,18.82,µg/m³
2026-07-12T02:00:00Z,pm25,21.64,µg/m³
2026-07-12T03:00:00Z,pm25,15.17,µg/m³
2026-07-12T04:00:00Z,pm25,16.08,µg/m³
2026-07-12T05:00:00Z,pm25,14.98,µg/m³
2026-07-12T06:00:00Z,pm25,21.25,µg/m³
2026-07-12T07:00:00Z,pm25,35.95,µg/m³
2026-07-12T08:00:00Z,pm25,38.47,µg/m³
2026-07-12T09:00:00Z,pm25,37.8,µg/m³
2026-07-12T10:00:00Z,pm25,18.4,µg/m³
2026-07-12T11:00:00Z,pm25,16.8,µg/m³
2026-07-12T12:00:00Z,pm25,16.16,µg/m³
2026-07-12T13:00:00Z,pm25,17.17,µg/m³
2026-07-12T14:00:00Z,pm25,20.42,µg/m³
2026-07-12T15:00:00Z,pm25,14.66,µg/m³
2026-07-12T16:00:00Z,pm25,18.28,µg/m³
2026-07-12T17:00:00Z,pm25,31.74,µg/m³
2026-07-12T18:00:00Z,pm25,27.89,µg/m³
2026-07-12T19:00:00Z,pm25,41.65,µg/m³
2026-07-12T20:00:00Z,pm25,16.57,µg/m³
2026-07-12T21:00:00Z,pm25,21.75,µg/m³
2026-07-12T22:00:00Z,pm25,17.72,µg/m³
2026-07-12T23:00:00Z,pm25,19.47,µg/m³
2026-07-13T00:00:00Z,pm25,16.43,µg/m³
2026-07-13T01:00:00Z,pm25,17.71,µg/m³
2026-07-13T02:00:00Z,pm25,21.46,µg/m³
2026-07-13T03:00:00Z,pm25,18.0,µg/m³
2026-07-13T04:00:00Z,pm25,19.51,µg/m³
2026-07-13T05:00:00Z,pm25,18.39,µg/m³
2026-07-13T06:00:00Z,pm25,16.62,µg/m³
2026-07-13T07:00:00Z,pm25,30.9,µg/m³
2026-07-13T08:00:00Z,pm25,33.68,µg/m³
2026-07-13T09:00:00Z,pm25,35.61,µg/m³
2026-07-13T10:00:00Z,pm25,15.43,µg/m³
2026-07-13T11:00:00Z,pm25,18.06,µg/m³
2026-07-13T12:00:00Z,pm25,20.31,µg/m³
2026-07-13T13:00:00Z,pm25,15.01,µg/m³
2026-07-13T14:00:00Z,pm25,19.13,µg/m³
2026-07-13T15:00:00Z,pm25,14.66,µg/m³
2026-07-13T16:00:00Z,pm25,20.98,µg/m³
2026-07-13T17:00:00Z,pm25,38.61,µg/m³
2026-07-13T18:00:00Z,pm25,36.01,µg/m³
